date,exchange_rate
2009-01-02,0
2010-07-17,0.04
2010-10-25,0.10
2011-01-03,0.30
2011-06-01,8.00
2011-11-01,3.50
2012-01-11,7.10
2012-06-01,6.50
2013-01-01,13.00
2013-04-01,92.00
2013-11-01,213.00
2013-12-01,1000.00
2014-01-01,800.00
2015-01-01,320.00
2016-01-01,430.00
2017-01-01,1000.00
2017-06-01,2500.00
2017-12-01,10000.00
2018-01-01,14000.00
2018-12-01,3800.00
2019-01-01,3500.00
2019-06-01,8000.00
2020-01-01,7000.00
2020-12-01,23000.00
2021-01-01,29000.00
2021-04-01,58000.00
2021-11-01,61000.00
2022-01-01,46000.00
2022-06-01,29000.00
